Facility Name,Registration Number,County,Street Address,City,State,Zip Code,Contact Name,Phone Number,Extension,Website,Location 1,lat,lgn
"ZLD Tech Enterprise, Inc. ",1207,New York,114 Bowery Street,New York,NY,10013,Enze Wang,646-236-5099,,,"114 Bowery Street
New York, NY 10013
(40.718134, -73.994948)",40.71825949999999,-73.9953302
Crestwood Metal Corporation,146,Suffolk,1100 Lincoln Avenue,Holbrook,NY,11741,Sebastian Passarello,631-567-2727,,http://crestwoodmetal.com,"1100 Lincoln Avenue
Holbrook, NY 11741
(40.77468, -73.083522)",40.7742959,-73.08469099999999
"Tekovery, Inc.",686,Westchester,560 South 3rd Avenue,Mount Vernon,NY,10550,Andrew Orben,914-226-8322 ,114.0,http://www.tekovery.com,"560 South 3rd Avenue
Mount Vernon, NY 10550
(40.898088, -73.830495)",40.8976684,-73.83115459999999
ACRMD Community,1130,Queens,2435 Harway Avenue,Brooklyn,NY,11214,Jerry Bucher,646-438-0548,,,"2435 Harway Avenue
Brooklyn, NY 11214
(40.593375, -73.993569)",40.5937346,-73.9935627
Midisland Salvage Corporation,1146,Suffolk,1007 Long Island Avenue,Deer Park,NY,11729,James Marro ,631-942-1383,,http://midislandsalvagecorp.com,"1007 Long Island Avenue
Deer Park, NY 11729
(40.765461, -73.313389)",40.7659252,-73.31297540000001
Bomet Recovery LLC,1096,Orleans,152 Mc Kinstry Street,Albion,NY,14411,Carrie Dunn,585-283-4135,,,"152 Mc Kinstry Street
Albion, NY 14411
(43.242578, -78.18634)",43.242587,-78.187218
eWorks ESI AHRC Nassau,411,Nassau,230 Hanse Avenue,Freeport,NY,11520,Lee Gray,516-546-7700,,http://www.eworksesi.org,"230 Hanse Avenue
Freeport, NY 11520
(40.6456, -73.571081)",40.6449767,-73.5706391
Evolution Recycling Inc.,1208,Rensselaer,295 1st Street,Troy,NY,12180,Gary Bishop,518-774-3227,,,"295 1st Street
Troy, NY 12180
(42.719303, -73.69546)",42.7194634,-73.695835
"Sunnking, Inc.",2,Monroe,4 Owens Road,Brockport,NY,14420,Michelle Read,585-637-8365,,http://www.sunnking.com,"4 Owens Road
Brockport, NY 14420
(43.211395, -77.922421)",43.2110504,-77.9246014
Asset Recovery Engineering Associates,1028,Erie,5590 Maelou Drive,Hamburg,NY,14075,Al Conte,716-512-5518,,,"5590 Maelou Drive
Hamburg, NY 14075
(42.735552, -78.832643)",42.7357016,-78.8328907
Edward Arnold Scrap Processors Inc.,362,Genesee,2216 Angling Road,Corfu,NY,14036,Brant Arnold,585-762-9080,,,"2216 Angling Road
Corfu, NY 14036
(42.979872, -78.337465)",42.9794179,-78.3374541
Quality Shredding Corporation,1063,Suffolk,1014 Grand Boulevard,Deer Park,NY,11729,Steven Innerfield,631-926-0959,,http://www.QualityShredding.com,"1014 Grand Boulevard
Deer Park, NY 11729
(40.760886, -73.297212)",40.7605039,-73.2974514
"Buffalo Computer Recycling, LLC",927,Erie,69 Hayes Place,Buffalo ,NY,14210,Steve Chumsky,716-868-8640,,http://buffalocomputerrecycling.com,"69 Hayes Place
Buffalo, NY 14210
(42.869651, -78.827137)",42.869629,-78.8265842
Evolution Recycling Inc.,1008,Fulton,20 Crescendoe Road,Johnstown,NY,12095,Gary Bishop,518-774-3227,,,"20 Crescendoe Road
Johnstown, NY 12095
(43.012624, -74.369889)",43.0123052,-74.36829110000001
Lower East Side Ecology Center,120,Kings,469 President Street,Brooklyn,NY,11215,Christine Datz-Romero,212-477-4022,,http://www.lesecologycenter.org,"469 President Street
Brooklyn, NY 11215
(40.678385, -73.987615)",40.678498,-73.9875421
EWASTE+,138,Ontario,7318 Victor-Mendon Road,Victor,NY,14564,Mike Whyte,585-924-3840,,http://www.ewaste.com,"7318 Victor-Mendon Road
Victor, NY 14564
(42.994854, -77.433304)",42.99581269999999,-77.4338014
"PCR Metals, Inc.",1202,Nassau,18 Fox Hunt Lane,Great Neck,NY,11020,Peter Ross,516-238-0344,,,"18 Fox Hunt Lane
Great Neck, NY 11020
(40.769975, -73.717146)",40.7700496,-73.71746739999999
King Metal Corporation of New York,734,Nassau,70 New Street,Oceanside,NY,11570,Charles Levine,516-536-5464,,,"70 New Street
Oceanside, NY 11570
(40.636353, -73.659147)",40.6362528,-73.6592299
"First Class Aire, LLC dba First Class Services",873,St. Lawrence,495 West Parishville Road,Potsdam,NY,13676,Lisa Clothier,315-265-1003,,http://www.firstclassnny.com,"495 West Parishville Road
Potsdam, NY 13676
(44.623329, -74.953199)",44.6233,-74.9547
"Maven Technologies, LLC",123,Monroe,1450 Lyell Avenue,Rochester,NY,14606,Ken Johnson,585-458-2460 ,225.0,http://www.maventech.com,"1450 Lyell Avenue
Rochester, NY 14606
(43.164661, -77.661584)",43.1664091,-77.6616659
"Sir Scrap-A-Lot Recycling, LLC dba DiSK Data Destruction",1102,Suffolk,5 Hilltop Court,Rocky Point,NY,11778,Chris McDonald,631-923-7600,,,"5 Hilltop Court
Rocky Point, NY 11778
(40.951963, -72.95372)",40.9521051,-72.9533693
"E-Solutions USA, LLC",249,Suffolk,"200 Engineers Road, Suite 1 ",Hauppauge,NY,11788,Nicholas,631-234-7362,,http://www.esolutionsusa.com,"200 Engineers Road
Hauppauge, NY 11788
(40.813736, -73.242781)",40.8133234,-73.2427173
Arrow Scrap Corporation,611,Suffolk,83 Kean Street,West Babylon,NY,11704,Don Galindo,631-491-3061,,http://www.arrowscrap.com,"83 Kean Street
West Babylon, NY 11704
(40.73722, -73.380052)",40.737442,-73.3797574
"Allocco Recycling, Ltd.",328,Kings,540 Kingsland Avenue,Brooklyn,NY,11222,Michael Allocco,718-349-3094,,http://www.alloccorecycling.com,"540 Kingsland Avenue
Brooklyn, NY 11222
(40.734571, -73.944753)",40.7355207,-73.9443861
Advanced Electronic Recycling,1205,Albany,1076 Broadway,Menands,NY,12204,Lewis Growick,518-490-2350,,,"1076 Broadway
Menands, NY 12204
(42.667432, -73.741019)",42.667808,-73.742137
"Total Computer Supplies and Accessories, Inc.",357,Clinton,7164 U.S. 9,Plattsburgh,NY,12901,Jay Letts,518-561-6885,,http://www.totalcomputersupplies.com,"7164 U S 9
Plattsburgh, NY 12901
(44.727943, -73.434508)",44.7278403,-73.4341802
Geodis Global Solutions USA Inc.,26,Broome,1701 North Street,Endicott,NY,13760,Maria R. Balchikonis,732-570-6408,,,"1701 North Street
Endicott, NY 13760
(42.105145, -76.046096)",42.1048255,-76.0438145
Liquid Technology,618,Kings,"140 58th Street, Suite 8C",Brooklyn,NY,11220,Stephen Sidwell,646-230-8632,,http://liquidtechnology.net,"140 58th Street
Brooklyn, NY 11220
(40.645819, -74.023681)",40.6455001,-74.0239072
"Ecotech Management, Inc.",932,Suffolk,935 Lincoln Avenue,Holbrook,NY,11741,sebastian passarello,631-567-2727,,http://ecotechmanagement.com,"935 Lincoln Avenue
Holbrook, NY 11741
(40.774945, -73.083545)",40.7744568,-73.0825864
eLot Electronics Recycling,30,Albany,64 Hannay Lane,Glenmont,NY,12077,Morris Freedman,518-266-9385,,http://www.elotrecycling.com,"64 Hannay Lane
Glenmont, NY 12077
(42.623834, -73.785515)",42.623631,-73.786773
"ProTek Recycling, Inc.",838,Rensselaer,246 1st Street,Troy,NY,12180,Christopher Fuller,518-874-1001,,http://www.protekrecycling.com,"246 1st Street
Troy, NY 12180
(42.721206, -73.695043)",42.7209927,-73.6948326
National Computer Liquidators Inc.,245,Suffolk,110 Bi County Boulevard. Suite 106,Farmingdale,NY,11735,James Hoellerman,516-342-7797,,,"110 Bi County Boulevard
Farmingdale, NY 11735
(40.726577, -73.427922)",40.7263771,-73.42888649999999
"Recycle Corp of Champlain NY, LLC",1194,Clinton,"100 Walnut Street, Door 19",Champlain,NY,12919,Norman Bernstein,518-304-1818,,,"100 Walnut Street
Champlain, NY 12919
(44.986029, -73.434121)",44.985169,-73.434336
REACT E-Cycling Inc.,175,Chemung,225 Colonial Drive,Horseheads,NY,14845,Skip Starr,607-738-6577,,http://www.react-e-cycling.com,"225 Colonial Drive
Horseheads, NY 14845
(42.163611, -76.872494)",42.1627376,-76.8727267
Arrow Scrap Corporation,1053,Suffolk,1120 Lincoln Avenue,Holbrook,NY,11741,Don Galindo,631-319-1910,,http://www.arrowscrap.com,"1120 Lincoln Avenue
Holbrook, NY 11741
(40.77623, -73.083659)",40.7762594,-73.08452129999999
